Id,Start time,Completion time,Email,Name,I felt safe handling the vibration feedback,I felt that I controlled the vibration feedback,I felt that the vibration feedback was guiding me,"On a scale of 1 - 5, how would you rate your comfort level?  (1 being very uncomfortable and 5 being very comfortable)","On a scale of 1 to 5, how confident did you feel while operating the simulated hydraulic pump? (1 being not confident at all and 5 being extremely confident)"
1,5/16/24 15:10:49,5/16/24 15:10:57,anonymous,,Yes,Yes,Yes,3,5
2,5/16/24 15:27:10,5/16/24 15:27:15,anonymous,,Yes,Yes,Yes,3,3
3,5/16/24 15:40:17,5/16/24 15:40:36,anonymous,,Yes,No,Yes,3,3
4,5/16/24 15:58:51,5/16/24 15:59:25,anonymous,,No,No,No,1,3
5,5/16/24 16:19:11,5/16/24 16:19:40,anonymous,,Yes,No,No,1,2
6,5/16/24 16:33:17,5/16/24 16:33:36,anonymous,,Yes,No,No,5,4
7,5/16/24 16:38:28,5/16/24 16:38:48,anonymous,,Yes,No,No,3,3
8,5/16/24 17:02:48,5/16/24 17:03:24,anonymous,,Yes,Yes,Yes,4,4
9,5/16/24 17:15:44,5/16/24 17:16:05,anonymous,,Yes,No,No,4,4
10,5/16/24 18:54:17,5/16/24 18:54:47,anonymous,,Yes,Yes,Yes,2,4
