Id,Start time,Completion time,Email,Name,I felt safe using the visual feedback,I felt that I controlled the visual feedback,I felt that the visual feedback was guiding me,"On a scale of 1 - 5, how would you rate your comfort level?  (1 being very uncomfortable and 5 being very comfortable)","On a scale of 1 to 5, how confident did you feel while operating the simulated hydraulic pump? (1 being not confident at all and 5 being extremely confident)"
1,5/16/24 15:08:22,5/16/24 15:08:38,anonymous,,Yes,Yes,No,4,3
2,5/16/24 15:22:25,5/16/24 15:22:45,anonymous,,Yes,Yes,No,2,2
3,5/16/24 15:41:19,5/16/24 15:41:30,anonymous,,Yes,Yes,Yes,3,3
4,5/16/24 15:52:22,5/16/24 15:54:48,anonymous,,No,No,No,1,2
5,5/16/24 16:15:32,5/16/24 16:16:41,anonymous,,Yes,No,Yes,4,4
6,5/16/24 16:28:11,5/16/24 16:28:37,anonymous,,Yes,Yes,Yes,5,4
7,5/16/24 16:40:48,5/16/24 16:40:58,anonymous,,Yes,No,No,3,3
8,5/16/24 17:07:00,5/16/24 17:07:26,anonymous,,No,No,No,3,2
9,5/16/24 17:18:30,5/16/24 17:18:37,anonymous,,Yes,Yes,Yes,5,5
10,5/16/24 18:57:32,5/16/24 18:57:51,anonymous,,Yes,Yes,Yes,5,5
